,Input.save_dir,ocr,boundingBoxes
0,data/bio-4/unordered/MoQWPwzTzFE/slide_025.jpg,cytoplasmic organelles golgi apparatusa stack of to disc shaped envelopes sorts products of rough er and sends them to proper destination products of rough er move through the golgi from the convex cis to the concave trans side is the packaging and shipping division of the manufacturing plant education ie,[]
1,data/bio-4/unordered/MoQWPwzTzFE/slide_022.jpg,the cytoplasm cytoplasm lies internal to plasma membrane consists of cytosol organelles and inclusions cytosol jellylike fluid in which other cellular elements are suspended consists of water ions and enzymes education ie,[]
2,data/bio-4/unordered/MoQWPwzTzFE/slide_007.jpg,how big is a micron cm microns httpslearngeneticsutaheducontentcellsscale education ne copyright,"[{""height"":290,""label"":""Diagram"",""left"":18,""top"":67,""width"":567}]"
3,data/bio-4/unordered/MoQWPwzTzFE/slide_000.jpg,chapter cell structure and function dr rita marcon los medanos college,[]
4,data/bio-4/unordered/MoQWPwzTzFE/slide_009.jpg,figure structure of a generalized cell chromatin nuclear envelope nucleolus nucleus plasma membrane smooth endoplasmic reticulum cytosol lysosome centrioles rough endoplasmic centrosome reticulum matrix ribosomes apparatus being from cell by exocyto intermediate filaments peroxisome education ie,"[{""height"":7,""label"":""Image"",""left"":543,""top"":1,""width"":3},{""height"":445,""label"":""Diagram"",""left"":13,""top"":1,""width"":616}]"
5,data/bio-4/unordered/MoQWPwzTzFE/slide_040.jpg,figure the nucleus,"[{""height"":447,""label"":""Diagram"",""left"":9,""top"":5,""width"":345},{""height"":445,""label"":""Diagram"",""left"":355,""top"":11,""width"":268}]"
6,data/anat-1/AnatomyPhysiology/26/slide_013.jpg,figure location of the heart in the mediastinum mediastinum heart left lung body of t vertebra posterior b pearson education inc,"[{""height"":874,""label"":""Diagram"",""left"":13,""top"":3,""width"":1547}]"
7,data/bio-4/unordered/MoQWPwzTzFE/slide_047.jpg,do all cells have the same structure lets compare these two cells below what do you notice about their structures in the brain a sperm cell,"[{""height"":309,""label"":""Diagram"",""left"":15,""top"":141,""width"":323},{""height"":192,""label"":""Diagram"",""left"":335,""top"":263,""width"":260}]"
8,data/bio-4/unordered/MoQWPwzTzFE/slide_035.jpg,figure cytoskeletal elements b intermediate filaments tough insoluble protein fibers constructed like woven ropes fibrous subunits intermediate filaments form the purple batlike network in this photo education ine,"[{""height"":466,""label"":""Diagram"",""left"":13,""top"":6,""width"":443}]"
9,data/anat-1/AnatomyPhysiology/26/slide_014.jpg,size location and orientation of heart cont base posterior surface leans toward right shoulder apex points toward left hip apical impulse palpated between fifth and sixth ribs just below left nipple,[]
10,data/anat-1/AnatomyPhysiology/07/slide_051.jpg,facial bones cont openings for nerves and blood vessels include inferior orbital fissure infraorbital foramen incisive fossa and canal pearson education inc,[]
11,data/bio-4/unordered/MoQWPwzTzFE/slide_032.jpg,peroxisomes peroxisomesmembranewalled sacs of oxidase enzymes enzymes neutralize free radicals and break down poisons break down long chains of fatty acids are numerous in the liver and kidneys are the toxic waste removal system education ie,[]
12,data/anat-1/AnatomyPhysiology/26/slide_068.jpg,microscopic anatomy cardiac muscle cells striated short branched fat interconnected one central nucleus at most nuclei contain numerous large mitochondria of cell volume that afford resistance to fatigue rest of volume composed of sarcomeres z discs a bands and bands all present t tubules are wider but less numerous enter cell only once at z disc sr simpler than in skeletal muscle no triads pear rson education inc,[]
13,data/anat-1/AnatomyPhysiology/07/slide_064.jpg,facial bones cont inferior nasal conchae paired bones that form part of lateral walls of nasal cavity largest of three pairs of conchae ethmoid bone forms other two pairs pearson education inc,[]
14,data/bio-4/unordered/MoQWPwzTzFE/slide_023.jpg,cytoplasmic organelles endoplasmic reticulumsystem of membranewalled envelopes and tubes throughout cytoplasm rough erribosomes stud the external surfaces smooth erconsists of tubules in a branching network no ribosomes are no protein synthesis education ie,[]
15,data/anat-1/AnatomyPhysiology/22/slide_041.jpg,classification of neurotransmitters by chemical structure cont purines monomers of nucleic acids that have an effect in both cns and pns atp the energy molecule is now considered a neurotransmitter adenosine is a potent inhibitor in brain caffeine blocks adenosine receptors can induce ca influx in astrocytes pearson education inc,[]
16,data/anat-1/AnatomyPhysiology/07/slide_018.jpg,figure the skull bones of cranium coronal suture squamous suture lambdoid facial suture bones a cranial and facial divisions of the skull pearson education inc,"[{""height"":1052,""label"":""Diagram"",""left"":2,""top"":2,""width"":1276}]"
17,data/anat-1/AnatomyPhysiology/26/slide_066.jpg,figure gross anatomy of the heart aorta superior vena cava right pulmonary artery left pulmonary artery right pulmonary veins left pulmonary veins auricle of left atrium right atrium left atrium inferior vena cava great cardiac vein coronary sinus right coronary artery in coronary sulcus posterior interventricular artery in posterior interventricular sulcus middle cardiac vein posterior vein of left ventricle left ventricle apex right ventricle d posterior surface view pearson education inc,"[{""height"":1015,""label"":""Diagram"",""left"":11,""top"":8,""width"":1867}]"
18,data/dental/Cariology/2/slide_005.jpg,sugar acid cariogenic bacteria gerd fermentation fooddrinks ht hydroxyapatite demineralization,"[{""height"":39,""label"":""Equation"",""left"":267,""top"":196,""width"":106},{""height"":49,""label"":""Equation"",""left"":466,""top"":190,""width"":133},{""height"":35,""label"":""Equation"",""left"":32,""top"":199,""width"":143},{""height"":369,""label"":""Diagram"",""left"":12,""top"":45,""width"":605}]"
19,data/bio-4/unordered/MoQWPwzTzFE/slide_024.jpg,figure the endoplasmic reticulum er and ribosomes a diagrammatic view of smooth b electron micrograph of rough er smooth and rough er education ie,"[{""height"":425,""label"":""Diagram"",""left"":7,""top"":3,""width"":612}]"
20,data/anat-1/AnatomyPhysiology/07/slide_063.jpg,figure bones of the nasal cavity crista galli ethmoid cribriform frontal sinus bone plate sella turcica sphenoidal i perpendicular plate sinus of ethmoid bone septal cartilage vomer palatine bone hard alveolar process palatine process of maxilla palate of maxilla b nasal cavity with septum in place showing the contributions of the ethmoid bone the vomer and septal cartilage pearson education inc,"[{""height"":989,""label"":""Diagram"",""left"":0,""top"":1,""width"":1428}]"
21,data/bio-1/unordered/uM1JOFaATP4/slide_029.jpg,pituitary gland the pituitary is actually two glands the posterior pituitary is an extension of the hypothalamus that stores and secretes hormones synthesized by the hypothalamus the anterior pituitary is an endocrine gland that synthesizes and secretes hormones,"[{""height"":319,""label"":""Diagram"",""left"":703,""top"":184,""width"":407}]"
22,data/anat-1/AnatomyPhysiology/22/slide_046.jpg,classification of neurotransmitters by function cont actions direct versus indirect direct action neurotransmitter binds directly to and opens ion channels promotes rapid responses by altering membrane potential examples ach and amino acids indirect action neurotransmitter acts through intracellular second messengers usually g protein pathways broader longerlasting effects similar to hormones biogenic amines neuropeptides and dissolved gases pearson education inc,[]
23,data/bio-4/unordered/MoQWPwzTzFE/slide_018.jpg,receptormediated endocytosis receptormediated endocytosis plasma proteins bind to certain molecules invaginates and forms a coated pit pinches off to become a coated vesicle this is the method by which insulin other hormones enzymes and lowdensity lipoproteins enter cells education ie,[]
24,data/anat-1/AnatomyPhysiology/26/slide_061.jpg,coronary circulation cont coronary arteries both eft and right coronary arteries arise from base of aorta and supply arterial blood to heart both encircle heart in coronary sulcus branching of coronary arteries varies among individuals arteries contain many anastomoses junctions provide additional routes for blood delivery cannot compensate for coronary artery occlusion heart receives of bodys blood supply pearson,[]
25,data/dental/Cariology/5/slide_001.jpg,fermentable carbohydrates monosaccharides glucose bodys main source of energy galactose cpmponent of lactose fructose fruit sugar fruit and honey hfcs disaccharides sucrose cane sugar table sugar added sugar in sweetened products candy lactose milk sugar dairy maltose malt sugar grains starch string of glucose broken down by salivary amylase,[]
26,data/anat-1/AnatomyPhysiology/07/slide_011.jpg,overview of skull geography cont cranium also contains other cavities middle and internal ear cavities nasal cavity orbits that house eyeballs skull has named openings foramina canals fissures provide passageways for spinal cord major blood vessels and the cranial nerves pearson education inc,[]
27,data/bio-4/unordered/MoQWPwzTzFE/slide_011.jpg,figure the plasma membrane according to the fluid mosaic model polar head of proteins cytoskeleton proteins education ie,"[{""height"":422,""label"":""Diagram"",""left"":13,""top"":5,""width"":604}]"
28,data/bio-1/unordered/uM1JOFaATP4/slide_052.jpg,physiological thermostats thermoregulation in response blood mammals is controlled by the hypothalamus in which a coat group of nerve cells functions as a thermostat the hypothalamus triggers heat loss or heatgenerating mechanisms fever is the result of a change to the set point for a response blood constrict biological thermostat pearson education inc,"[{""height"":419,""label"":""Diagram"",""left"":642,""top"":130,""width"":480}]"
29,data/anat-1/AnatomyPhysiology/22/slide_034.jpg,table comparison of graded potentials and action potentials continued table comparison of i on potentials continued summation stimulus responses can summate to increase does not occur an allornone phenomenon amplitude of graded potential temporal increased spatial stimuli from frequency of stimuli multiple sources postsynaptic potential a type of gp excitatory epsp inhibitory ipsp function shortdistance signaling longdistance signaling constitutes the nerve impulse depolariza hyperpolarization that tion that spreads to spreads to axon hillock axon hillock moves moves membrane membrane potential potential away from toward threshold for threshold for generating generating an ap an ap pearson education inc,"[{""height"":681,""label"":""Table"",""left"":52,""top"":192,""width"":1609}]"
30,data/anat-1/AnatomyPhysiology/26/slide_054.jpg,left side of the heart four pulmonary veins left atrium mitral valve left ventricle aortic semilunar valve aorta systemic circulatioh pearson education inc,[]
31,data/bio-4/unordered/MoQWPwzTzFE/slide_016.jpg,membrane transport mechanisms facilitated diffusionmovement of molecules down their concentration gradient through an integral protein active transportintegral proteins move molecules across the plasma membrane against their concentration gradient,[]
32,data/anat-1/AnatomyPhysiology/07/slide_016.jpg,figure the base of the cranial cavity view frontal bone ethmoid crista galli bone cribriform plate anterior cranial fossa cribriform foramina a optic canal lesser wing sphenoid greater wing foramen rotundum foramen ovale foramen spinosum foramen lacerum hypophyseal fossa of sella turcica middle cranial fossa temporal bone petrous part posterior cranial fossa parietal bone jugular foramen occipital bone foramen magnum b photo of superior view of the skull calvaria removed pearson education inc,"[{""height"":888,""label"":""Diagram"",""left"":8,""top"":4,""width"":1402}]"
33,data/bio-1/unordered/uM1JOFaATP4/slide_002.jpg,anatomy is the study of the biological form of an organism physiology is the study of the biological functions an organism performs form and function are closely correlated pearson education inc,"[{""height"":316,""label"":""Image"",""left"":427,""top"":368,""width"":418}]"
34,data/anat-1/AnatomyPhysiology/26/slide_028.jpg,figure gross anatomy of the heart aorta superior vena cava right pulmonary artery left pulmonary artery right pulmonary veins left pulmonary veins auricle of left atrium right atrium left atrium inferior vena cava great cardiac vein coronary sinus right coronary artery in coronary sulcus posterior interventricular artery in posterior interventricular sulcus middle cardiac vein posterior vein of left ventricle left ventricle apex right ventricle d posterior surface view pearson education inc,"[{""height"":1055,""label"":""Diagram"",""left"":12,""top"":1,""width"":1889}]"
35,data/anat-1/AnatomyPhysiology/22/slide_048.jpg,neurotransmitter receptors channellinked receptors ligandgated ion channels action is immediate and brief excitatory receptors are channels for small cations nat influx contributes most to depolarization inhibitory receptors allow influx that causes hyperpolarization pearson education inc,[]
36,data/dental/Cariology/5/slide_000.jpg,fermentable carbohydrates simple vs complex sugars glycolysis fermentation glycolysis fermentation glucose pyruvate lactic acid,"[{""height"":86,""label"":""Diagram"",""left"":24,""top"":268,""width"":564}]"
37,data/bio-4/unordered/MoQWPwzTzFE/slide_027.jpg,figure the sequence of events from protein synthesis on the rough er to the final distribution of these proteins vesicle lysosome education ie,"[{""height"":319,""label"":""Diagram"",""left"":113,""top"":81,""width"":506},{""height"":409,""label"":""Diagram"",""left"":8,""top"":3,""width"":619}]"
38,data/bio-1/unordered/uM1JOFaATP4/slide_005.jpg,table organ system digestive circulatory respiratory immune and lymphatic excretory endocrine reproductive nervous integumentary skeletal muscular pearson education inc organ systems in mammals main components mouth pharynx esophagus stomach intestines liver pancreas anus heart blood vessels blood lungs trachea other breathing tubes bone marrow lymph nodes thymus spleen lymph vessels white blood cells kidneys ureters urinary bladder urethra pituitary thyroid pancreas adrenal and other hormonesecreting glands ovaries or testes and associated organs brain spinal cord nerves sensory organs skin and its derivatives such as hair claws sweat glands skeleton bones tendons ligaments cartilage skeletal muscles,"[{""height"":702,""label"":""Table"",""left"":160,""top"":1,""width"":887}]"
39,data/dental/Cariology/5/slide_003.jpg,fermentable carbohydrates sugar alcohols like xylitol erythritol and sorbitol were not utilized well by oral bacteria thaweboon et al xylitol actually inhibits growth of step mutans nayak et al,[]
40,data/anat-1/AnatomyPhysiology/22/slide_033.jpg,table comparison of graded potentials and action potentials continued table on potentials continued amplitude various sizes graded decays with distance always the same size allornone does not decay with distance size stimulus for chemicakneurotransmitter or sensory stimulus voltage depolarization triggered by gp reaching threshold opening ion eg light pressure temperature channels positive feed absent present back cycle repolarization voltage independent occurs when stimulus is no voltage regulated occurs when channels inactivate and k longer present channels open pearson education inc,"[{""height"":393,""label"":""Table"",""left"":68,""top"":340,""width"":1796},{""height"":756,""label"":""Table"",""left"":15,""top"":1,""width"":1868}]"
41,data/anat-1/AnatomyPhysiology/13/slide_022.jpg,isotonic and isometric contractions isotonic contractions muscle changes in length and moves load contractions can be either concentric or eccentric concentric contractions muscle shortens and does work example biceps contract to pick up a book eccentric contractions muscle lengthens and generates force example laying a book down causes biceps to lengthen while generating a force pearson education inc,[]
42,data/anat-1/AnatomyPhysiology/26/slide_053.jpg,right side of the heart superior vena cava svc inferior vena cava ivc and coronary sinus right atrium tricuspid valve right ventricle pulmonary semilunar valve pulmonary trunk pulmonary arteries lungs pearson education inc,[]
43,data/bio-1/unordered/uM1JOFaATP4/slide_030.jpg,posterior pituitary pathways regulation of milk release during nursing in mammals is an example oxytocin of a neuroendocrine pathway suckling stimulates sensory neurons in the nipples to generate nerve impulses that reach the hypothalamus the hypothalamus stimulates release of oxytocin from the posterior pituitary which stimulates further release of milk this positive feedback cycle continues until the baby stops suckling stimulus suckling nourosecretory call hypothalamus posterior hormone blood vessel oxytocin a circulation throughout body via blood positive feedback target smooth muscle in mammary glands response milk release pearson education inc,"[{""height"":470,""label"":""Diagram"",""left"":702,""top"":120,""width"":432}]"
44,data/dental/Cariology/5/slide_004.jpg,fermentable carbohydrates splenda sucralose nutrasweet aspartame truvia stevia erythritol not converted into acids by oral bacteria,[]
45,data/bio-4/unordered/MoQWPwzTzFE/slide_020.jpg,exocytosis exocytosisa mechanism that moves substances out of the cell substance is enclosed in a vesicle the vesicle migrates to the plasma membrane pearton education ie,[]
