,Answer.startTimeList,seconds,speaker,video_id,youtube_url
0,Start Time|25.3924|60.9999|189.9999|207.9999|270.4999|409.4999|437.9999|455.9999|505.4999|524.4999|637.9999|703.4999|743.4999|743.4998|783.9998|874.4998|904.9997|1016.9996|1151.4996|1311.4996|1412.9996|1447.4996|1575.4996|1654.9996|1754.9996|1804.4996|1824.4996|1909.9996|2034.9995|2161.4995|2241.4995|2346.4995|2457.9995|2499.9995|2616.4994|2699.4994|2770.9994|2859.4994|2930.9994|3119.9994|3298.9993|3360.4993|3411.9993|3428.4993|3455.9993|3534.9993|3580.4993|3691.9993|3715.4993|3778.4993|3882.4993|3950.9993|3981.4993|3996.4993|4018.9993|4099.9992|4160.4992|4204.9992|4247.9991|4279.9991|4344.9991|4367.9991|4403.4991|4430.9991|4479.4990|4507.9989|4536.4989|4564.4989|4604.4989|4618.9989|4644.9989|4656.4989|4740.9989,4812.22,anat-1,3ZA33n7BrRg.mp4,https://www.youtube.com/watch?v=3ZA33n7BrRg
1,Start Time|166.6247|202.06|391.5|443.32|693.2|844.1799|1092.06|1185.72|1302.3599|1481.68|1554.8599|1653.64|1701.84|1770.28|1844.7|1970.58|2035.64|2107.7|2134.92|2214.34|2267.04|2295.76|2325.98|2390.42,2626.08,anat-2,DM4MWxnXOzM.mp4,https://www.youtube.com/watch?v=DM4MWxnXOzM
2,Start Time|110.3333|206.1666|266.1666|397.1666|415.1665|476.8333|574.6666|651.1666|693.8333|772.5|831.1666|933.8333|1019.1666|1082.7095|1193.4999|1305.3333|1357.6666|1584.3535|1651.5,1772.1,bio-1,dC93OcrNX6c.mp4,https://www.youtube.com/watch?v=dC93OcrNX6c
3,Start Time|8.2292|225.7292|357.2292|446.7292,525.03,bio-2,dEh_Zk9d0sE.mp4,https://www.youtube.com/watch?v=dEh_Zk9d0sE
4,Start Time|159.5999|172.8199|186.3199|198.8199|253.8199|373.76|385.76|404.2599|490.7598|490.7597|538.7596|607.2596|648.2595|683.7595|733.92|800.9199|810.4199|846.4199|864.9199|954.9894|976.4894|976.4894|976.4893|1017.4893|1085.9893|1117.9893|1193.4893|1223.9893|1339.4893|1373.9893|1476.9893|1524.4893|1550.4893|1583.4893|1601.4893|1656.9892|1677.9892|1690.4892|1719.4892|1817.4892|1817.4892|1860.4892|1931.9892|1963.9892|1999.9892|2062.4891|2123.9891|2185.4891|2234.9890|2278.9890|2299.9890|2327.4890|2387.4890|2409.9890|2461.9890|2585.9890|2607.9890|2669.9890|2761.4890|2871.9890|2871.9889|2931.9889|3021.9889|3104.9889|3240.4889|3272.9889|3299.9889|3373.4889|3388.4889|3470.9888|3494.4888|3509.4888|3570.9888|3575.4888|3638.9888|3690.9888|3778.9888|3798.4888|3934.9888,3948.09,bio-3,DZSEErNZ1d4.mp4,https://www.youtube.com/watch?v=DZSEErNZ1d4
5,Start Time|5.3069|32.3069|60.8069|100.3069|138.8069|167.8069|194.3069|220.8069|275.8068|356.8068|372.8068|460.8068|491.3068|560.3068|584.3068|637.3068|735.3067|776.8067|825.3067|923.3067|957.3067|1008.8066|1042.8066|1066.3066|1137.3066|1257.3066|1278.3066|1393.8066|1430.3066|1459.3066|1531.3066|1594.3065|1651.8065|1719.8065|1735.8065|1769.3065|1791.8065|1852.8065|1913.3065|1999.8064|2067.3064|2176.3064|2209.3063|2283.8063|2333.8063|2403.8063|2444.3063|2513.8063|2557.3063|2599.3063|2643.8063|2696.3063|2743.8063|2811.3062|2853.3062|2884.8062|2931.3062|2954.3062|2987.8062|3014.3062|3045.8062,3086.07,bio-4,gvhMDfQc58c.mp4,https://www.youtube.com/watch?v=gvhMDfQc58c
6,Start Time|5.5666|68.8666|279.7129|280.1|297.1|330.8333|403.2666|487.9|511.7333|609.8691,639.13,dental,Q7o9D2xxWVk.mp4,https://www.youtube.com/watch?v=Q7o9D2xxWVk
7,Start Time|6|100.167|213.167|497.5|556.833|655.167|680.833|786.667|955.667|999.833|1209.833|1223.833|1360.167|1446.167|1468.167|1533.667|1744.167|1878.167|1975.833|2043.167|2155.833|2163.5|2201.7680|2236.667|2284.167|2284.1669|2327.1668|2379.6668|2425.833|2451.6480|2546.1480|2546.6480|2547.1480|2592.167|2593.667|2629.167|2696.666|2756.5|2793.333|2800.333|2840.5|2868.833|2906.8329|2966.8329|3004.3329|3018.3329|3046.8329|3067.8328|3227.333|3267.8329|3381|3432|3521.666|3533.1659|3565.1659|3628.1659|3734.833|3759.166|3905.666|4022|4120.833|4187|4229.5|4331.333|4437|4473.8422|4482.666|4521.5|4532.4999|4748|4768.666|4777.666|4856.166|4862.666|4873.166|4875.666|4876.1659|4876.6659|4877.1659|4877.6659|4878.1659,4884.53,ml-1,fBYu8I52nVM.mp4,https://www.youtube.com/watch?v=fBYu8I52nVM
8,Start Time|34|156.1666|252.8839|328.3333|467|547.1666|764.8333|849.1666|1432|1547.3333|2058.3333|2427.3333|2604.1666|2684.8333|2876.3333|3083.1666,3097.33,psy-1,j2-9yymHfeU.mp4,https://www.youtube.com/watch?v=j2-9yymHfeU
9,Start Time|14.667|130.667|1181.333|1319.833|1663.333|1967.667|2035.167|2255.667|2307.5|2386|2511.167|2751|2939.666|3236.666|3485.5|4089.833|4481.166,4505.37,psy-2,O4QBTXeWmBc.mp4,https://www.youtube.com/watch?v=O4QBTXeWmBc
10,Start Time|30.0813|31.0813|248.1399|357.16|424.1|629.14|640.6399|718.8|728.54|817.0399|995.66|1274.76|1365.8|1477.06|1518.9|1720.7|1728.82|1784.3199|1905.64|1918.14|1990.56|2343.34|2390.92|2584.2399|2591.7199|2798.02|2869.08|2897.56|2924.02|3014.44|3071.14|3108.7199|3171.66|3200.88|3206.88|3222.8799|3234.9|3247.3999|3259.8999|3271.8999|3283.8999|3296.3999|3308.52|3321.02|3333.02|3345.52|3357.52|3370.02|3382.52|3394.52|3453.0199|3462.5199,3483.18,speaking,GanmCzqO_AE.mp4,https://www.youtube.com/watch?v=GanmCzqO_AE
11,Start Time|6.3833|7.3833|9.0934|10.5934|19.0934|52.9540|262.7644|474.5085|478.0131|498.1527|499.2739|582.7820|585.8773|607.8373|615.8372|617.3372|619.3372|702.8372|729.8372|741.8372|746.3372|752.8372|768.3372|782.3372|884.656,885.66,dental,9GmySN5P408.mp4,https://www.youtube.com/watch?v=9GmySN5P408
12,Start Time|18.7466|372.7466|579.3620|640.4350|786.6790|817.456,819.46,dental,-8QB3Rbeqoc.mp4,https://www.youtube.com/watch?v=-8QB3Rbeqoc
13,Start Time|12|79.5734|160.8403|207.0814|259.0503|346.3033|408.4054|422.7951|618.6422,633.72,dental,xLEpnKafyX4.mp4,https://www.youtube.com/watch?v=xLEpnKafyX4
14,Start Time|16.5|68.5|149.5|200|326|404|423.5|460|540|557|608|723|801.9999,828.19,dental,T6L_Q3TY63I.mp4,https://www.youtube.com/watch?v=T6L_Q3TY63I
15,Start Time|41.5|84.5|107.5|129.5|155.5|244.5|382|461|553|604|673|724,743.46,dental,jW3DWinvLaU.mp4,https://www.youtube.com/watch?v=jW3DWinvLaU
